SEASON_ID,PLAYER_ID,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,PTS_L5,REB_L5,AST_L5,MIN_L5
2025-26,201142,22500471,,HOU @ BKN,W,37,8,15,0.533,2,7,0.286,4,4,1.0,0,5,5,11,0,0,6,2,22,11,1,Kevin Durant,30.4,7.6,3.0,39.4
2025-26,201142,22500453,,HOU vs. IND,W,34,13,20,0.65,2,6,0.333,2,3,0.667,0,6,6,5,0,1,3,0,30,14,1,Kevin Durant,29.8,7.2,5.2,38.0
2025-26,201142,22500438,,HOU vs. CLE,W,29,11,17,0.647,2,4,0.5,6,7,0.857,0,4,4,7,0,0,3,1,30,24,1,Kevin Durant,29.8,6.0,5.4,37.0
2025-26,201142,22500012,,HOU @ LAL,W,33,8,14,0.571,4,6,0.667,5,5,1.0,1,3,4,8,1,2,3,1,25,26,1,Kevin Durant,28.4,6.0,6.8,35.4
2025-26,201142,22500422,,HOU @ LAC,L,29,8,15,0.533,1,4,0.25,5,5,1.0,1,4,5,1,0,2,3,1,22,-15,1,Kevin Durant,28.2,4.8,7.6,34.2
2025-26,201142,22500401,,HOU @ SAC,L,48,8,21,0.381,3,9,0.333,5,6,0.833,1,9,10,8,0,0,2,3,24,2,1,Kevin Durant,25.8,4.8,6.4,32.4
2025-26,201142,22500386,,HOU @ DEN,W,40,8,14,0.571,5,6,0.833,10,11,0.909,0,6,6,5,0,1,3,2,31,18,1,Kevin Durant,26.2,5.8,5.8,34.6
2025-26,201142,22500375,,HOU @ NOP,L,43,12,15,0.8,4,6,0.667,4,4,1.0,0,7,7,2,1,4,6,2,32,-7,1,Kevin Durant,26.4,5.8,5.8,35.8
2025-26,201142,22501225,,HOU @ DEN,L,44,8,14,0.571,2,3,0.667,7,8,0.875,0,5,5,7,1,5,5,3,25,2,1,Kevin Durant,26.8,6.4,4.8,38.6
2025-26,201142,22501205,,HOU vs. LAC,W,37,5,14,0.357,3,5,0.6,3,3,1.0,0,1,1,3,0,0,5,1,16,-6,1,Kevin Durant,26.8,6.6,4.6,40.8
2025-26,201142,22500356,,HOU @ DAL,L,31,11,20,0.55,1,3,0.333,4,4,1.0,0,1,1,3,0,0,1,1,27,-12,1,Kevin Durant,25.6,5.8,5.0,42.4
2025-26,201142,22500346,,HOU vs. PHX,W,32,11,17,0.647,2,2,1.0,4,4,1.0,0,4,4,8,2,1,5,2,28,29,1,Kevin Durant,26.2,4.0,4.0,39.0
2025-26,201142,22500330,,HOU vs. SAC,W,32,9,16,0.563,1,4,0.25,5,5,1.0,0,3,3,8,0,1,0,1,24,12,1,Kevin Durant,25.6,3.6,4.6,37.4
2025-26,201142,22500316,,HOU @ UTA,L,40,10,25,0.4,2,7,0.286,10,12,0.833,0,9,9,5,0,0,5,3,32,-8,1,Kevin Durant,24.0,2.8,5.8,35.2
2025-26,201142,22500301,,HOU @ UTA,W,30,10,14,0.714,3,4,0.75,2,2,1.0,1,6,7,4,3,1,1,2,25,28,1,Kevin Durant,25.4,3.6,5.4,34.4
2025-26,201142,22500054,,HOU vs. DEN,L,35,5,15,0.333,1,5,0.2,2,3,0.667,1,7,8,2,2,1,2,3,13,-7,1,Kevin Durant,27.2,4.8,5.6,33.0
2025-26,201142,22500255,,HOU @ CLE,W,37,6,18,0.333,1,6,0.167,7,8,0.875,0,3,3,3,0,0,4,2,20,6,1,Kevin Durant,24.4,6.2,5.4,33.8
2025-26,201142,22500236,,HOU vs. ORL,W,45,13,24,0.542,2,8,0.25,7,7,1.0,0,5,5,6,0,1,5,2,35,4,1,Kevin Durant,22.8,6.0,4.4,34.8
2025-26,201142,22500042,,HOU vs. POR,W,36,12,19,0.632,3,6,0.5,3,3,1.0,0,5,5,3,1,0,3,2,30,37,1,Kevin Durant,25.0,6.4,4.0,37.4
2025-26,201142,22500218,,HOU vs. WAS,W,31,7,16,0.438,2,5,0.4,7,8,0.875,1,4,5,4,2,0,1,2,23,15,1,Kevin Durant,24.6,5.6,3.6,36.6
2025-26,201142,22500191,,HOU @ MIL,W,37,11,15,0.733,2,2,1.0,7,9,0.778,0,3,3,7,0,0,3,2,31,2,1,Kevin Durant,24.2,5.2,3.6,36.8
2025-26,201142,22500032,,HOU @ SAS,L,37,8,18,0.444,1,2,0.5,7,7,1.0,0,1,1,2,1,0,8,5,24,-8,1,Kevin Durant,27.8,4.2,4.6,37.2
2025-26,201142,22500176,,HOU @ MEM,W,34,5,18,0.278,1,2,0.5,0,0,0.0,1,3,4,5,1,1,2,1,11,20,1,Kevin Durant,28.6,3.8,4.4,37.2
2025-26,201142,22500160,,HOU vs. DAL,W,38,6,18,0.333,2,8,0.25,7,7,1.0,1,5,6,5,1,1,3,2,21,-1,1,Kevin Durant,23.8,3.6,4.2,35.0
2025-26,201142,22500146,,HOU @ BOS,W,30,8,11,0.727,2,3,0.667,8,9,0.889,0,4,4,1,2,1,2,2,26,21,1,Kevin Durant,22.0,3.8,4.6,35.4
2025-26,201142,22500131,,HOU @ TOR,W,37,11,19,0.579,4,8,0.5,5,8,0.625,0,5,5,1,0,3,2,2,31,20,1,Kevin Durant,22.6,3.6,4.0,35.2
2025-26,201142,22500116,,HOU vs. BKN,W,25,6,14,0.429,0,4,0.0,7,7,1.0,0,6,6,3,1,0,3,4,19,10,1,Kevin Durant,22.6,4.0,2.8,35.2
2025-26,201142,22500093,,HOU vs. DET,L,37,9,18,0.5,3,3,1.0,16,18,0.889,1,2,3,1,3,1,0,3,37,-1,1,Kevin Durant,21.6,5.0,3.0,32.8
2025-26,201142,22500001,,HOU @ OKC,L,47,9,16,0.563,0,4,0.0,5,6,0.833,0,9,9,3,0,0,4,6,23,0,1,Kevin Durant,26.8,4.8,2.2,33.4
2024-25,201143,22401034,,BOS @ POR,W,30,6,12,0.5,2,6,0.333,0,0,0.0,1,5,6,1,1,1,1,0,14,4,1,Al Horford,14.6,8.4,2.6,28.8
2024-25,201143,22401020,,BOS @ UTA,W,27,2,7,0.286,1,4,0.25,0,0,0.0,5,4,9,2,0,0,0,0,5,12,1,Al Horford,14.8,7.4,2.8,29.2
2024-25,201143,22400994,,BOS vs. BKN,W,32,1,5,0.2,1,5,0.2,1,2,0.5,0,5,5,6,0,0,2,2,4,18,1,Al Horford,13.6,7.2,2.4,29.0
2024-25,201143,22400958,,BOS @ MIA,W,32,3,7,0.429,1,4,0.25,2,2,1.0,3,6,9,5,0,1,1,1,9,15,1,Al Horford,13.0,7.6,3.2,30.4
2024-25,201143,22400946,,BOS vs. OKC,L,34,6,14,0.429,6,12,0.5,0,0,0.0,3,7,10,6,1,2,2,1,18,-9,1,Al Horford,9.6,7.8,3.8,29.4
2024-25,201143,22400918,,BOS vs. LAL,W,37,5,9,0.556,1,3,0.333,3,4,0.75,1,8,9,4,3,1,0,1,14,16,1,Al Horford,10.0,7.8,4.0,31.0
2024-25,201143,22400891,,BOS vs. POR,W,31,4,9,0.444,2,7,0.286,2,2,1.0,1,8,9,4,0,2,2,3,12,12,1,Al Horford,10.0,8.4,4.6,32.4
2024-25,201143,22400866,,BOS vs. DEN,W,35,7,12,0.583,1,3,0.333,4,4,1.0,3,5,8,0,3,0,2,1,19,4,1,Al Horford,11.4,8.4,5.0,33.2
2024-25,201143,22400852,,BOS vs. CLE,L,38,2,4,0.5,1,1,1.0,0,0,0.0,1,6,7,2,0,0,1,0,5,4,1,Al Horford,14.4,9.0,3.8,33.8
2024-25,201143,22400836,,BOS @ DET,L,30,3,10,0.3,3,9,0.333,0,0,0.0,1,9,10,2,2,1,0,1,9,-14,1,Al Horford,13.6,8.6,3.2,35.0
2024-25,201143,22400811,,BOS vs. NYK,W,25,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,1,0,0,0,3,4,10,1,Al Horford,11.8,8.6,2.4,34.2
2024-25,201143,22400789,,BOS @ PHI,W,18,4,7,0.571,3,5,0.6,0,0,0.0,1,3,4,1,0,0,0,2,11,20,1,Al Horford,9.8,7.4,1.8,31.8
2024-25,201143,22400769,,BOS vs. SAS,W,34,2,10,0.2,2,7,0.286,0,0,0.0,2,8,10,3,0,2,1,1,6,4,1,Al Horford,9.6,6.4,1.2,29.2
2024-25,201143,22400759,,BOS @ MIA,W,33,6,11,0.545,4,8,0.5,0,0,0.0,1,9,10,0,0,2,0,0,16,13,1,Al Horford,7.0,6.8,1.8,29.0
2024-25,201143,22400748,,BOS @ NYK,W,31,1,4,0.25,1,3,0.333,2,2,1.0,2,6,8,1,0,1,1,3,5,24,1,Al Horford,9.2,7.4,1.4,28.0
2024-25,201143,22400728,,BOS vs. DAL,L,21,1,4,0.25,1,3,0.333,0,0,0.0,0,5,5,1,0,0,1,0,3,-13,1,Al Horford,8.4,7.0,1.2,28.2
2024-25,201143,22400710,,BOS @ CLE,W,27,5,12,0.417,3,9,0.333,0,0,0.0,3,7,10,2,0,1,1,3,13,19,1,Al Horford,8.2,7.4,1.2,27.4
2024-25,201143,22400698,,BOS @ PHI,W,11,1,4,0.25,0,2,0.0,2,2,1.0,0,2,2,0,1,0,0,0,4,-5,1,Al Horford,8.6,8.6,1.4,29.2
2024-25,201143,22400683,,BOS @ NOP,W,25,1,5,0.2,0,2,0.0,2,2,1.0,1,3,4,0,0,1,0,0,4,-4,1,Al Horford,8.2,7.0,0.8,24.6
2024-25,201143,22400635,,BOS @ DAL,W,19,2,8,0.25,0,2,0.0,0,0,0.0,4,2,6,1,0,0,0,2,4,16,1,Al Horford,5.8,5.8,0.8,23.0
2024-25,201143,22400629,,BOS @ LAL,L,24,1,5,0.2,0,3,0.0,0,0,0.0,0,4,4,2,0,1,1,2,2,-22,1,Al Horford,5.6,5.4,0.8,20.6
